sl_no,well_id,state,district,block,location,latitude,longitude,year,pH,EC,CO3,HCO3,Cl,SO4,NO3,PO4,TH,Ca,Mg,Na,K,F,SiO2,TDS,U,Fe,As,source_year,source_file,state_source,synthetic_id,TDS_source,wqi,wqi_category,risk_level,risk_band,risk_basis,eclipsed,wqi_n_params,wqi_confidence,dominant_driver,n_exceedances,permissible_breaches
9506,W175200082253001,Andhra Pradesh,VISAKHAPATNAM,CHINTAPALLE,Lotugadda junction,17.88111111,82.425,2022,7.3,462.0,0.0,146.4,46.2,6.9,12.8,0.0,134.7188,38.0,9.6,27.3,2.7,0.03,,295.7,1.0,,,2022,cgwb_2019.pdf,reported,False,derived,25.1,Excellent,Low,Low,wqi_band,False,7,High,TDS,0,0
9505,W174350083203601,Andhra Pradesh,VISAKHAPATNAM,VISAKHAPATNAM(U),Lawsons Bay 2011U,17.72861111,83.34333333,2022,7.6,1680.0,0.0,646.8,114.6,60.3,15.0,0.0,430.8297,110.0,38.0,140.2,11.4,0.38,,1075.2,5.0,,,2022,cgwb_2019.pdf,reported,False,derived,76.51,Good,Low,Low,wqi_band,False,7,High,TDS,2,0
9504,W174845082293002,Andhra Pradesh,VISAKHAPATNAM,CHINTAPALLE,Lambasingi1,17.81333333,82.49166667,2022,7.6,211.0,0.0,73.2,10.3,0.7,6.0,0.0,65.13979,11.0,9.4,8.4,1.5,0.1,,135.0,1.0,,,2022,cgwb_2019.pdf,reported,False,derived,17.17,Excellent,Low,Low,wqi_band,False,7,High,pH,0,0
9503,W174850082490001,Andhra Pradesh,VISAKHAPATNAM,BUCHCHAYYAPETA,L Singavaram-DW13,17.81333333,82.81666667,2022,7.6,750.0,0.0,305.1,38.9,8.4,3.8,0.0,238.0178,55.0,24.7,31.7,1.5,0.62,,480.0,3.0,,,2022,cgwb_2019.pdf,reported,False,derived,44.36,Excellent,Low,Low,wqi_band,False,7,High,TDS,1,0
9502,W174000082123002,Andhra Pradesh,VISAKHAPATNAM,KOYYURU,Koyyuru1,17.67777778,82.20833333,2022,6.6,342.0,0.0,146.4,19.6,1.9,25.2,0.0,124.233,30.0,12.0,16.9,5.0,0.08,,218.9,1.0,,,2022,cgwb_2019.pdf,reported,False,derived,35.8,Excellent,Low,Low,wqi_band,False,7,High,pH,0,0
9501,W181230083043001,Andhra Pradesh,VISAKHAPATNAM,ANANTAGIRI,Kottur,18.20333333,83.075,2022,7.4,257.0,0.0,122.0,3.5,10.7,6.9,0.0,93.08415,22.0,9.3,9.3,0.8,0.15,,164.5,2.0,,,2022,cgwb_2019.pdf,reported,False,derived,18.84,Excellent,Low,Low,wqi_band,False,7,High,TDS,0,0
9500,W174510082420001,Andhra Pradesh,VISAKHAPATNAM,RAVIKAMATAM,Kottakota-DW13,17.7625,82.7,2022,7.7,3740.0,0.0,1012.9,665.7,159.0,17.1,0.0,341.2041,35.0,61.6,666.0,14.3,2.54,,2393.6,39.0,,,2022,cgwb_2019.pdf,reported,False,derived,185.91,Poor,High,Medium,exceedance_override,True,7,High,TDS,4,2
9499,W174126083174201,Andhra Pradesh,VISAKHAPATNAM,VISAKHAPATNAM(U),Kotaveedhi 2011U,17.69472222,83.295,2022,7.6,1060.0,0.0,353.9,113.8,49.7,34.2,0.0,281.8701,66.0,28.2,90.3,27.7,0.06,,678.4,6.0,,,2022,cgwb_2019.pdf,reported,False,derived,60.39,Good,Low,Low,wqi_band,False,7,High,TDS,2,0
9498,W173345082413001,Andhra Pradesh,VISAKHAPATNAM,KOTAURATLA,Kotauratla,17.55916667,82.69166667,2022,7.0,1090.0,0.0,427.1,68.9,21.4,57.8,0.0,406.009,105.0,35.0,45.4,2.9,0.39,,697.6,2.0,,,2022,cgwb_2019.pdf,reported,False,derived,71.36,Good,High,Low,exceedance_override,True,7,High,NO3,3,1
9517,W173030082400003,Andhra Pradesh,VISAKHAPATNAM,KOTAURATLA,Purshotta Puram-alt2,17.50833333,82.66666667,2022,7.7,1130.0,0.0,427.1,100.4,48.2,27.0,0.0,172.0541,32.0,22.2,150.4,38.3,0.16,,723.2,5.0,,,2022,cgwb_2019.pdf,reported,False,derived,56.82,Good,Low,Low,wqi_band,False,7,High,TDS,1,0
9529,W173640082390001,Andhra Pradesh,VISAKHAPATNAM,KOTAURATLA,Yendapalli DW13,17.61,82.65,2022,7.7,668.0,0.0,256.3,38.3,13.7,3.3,0.0,165.1213,27.0,23.8,48.8,1.7,1.48,,427.5,2.0,,,2022,cgwb_2019.pdf,reported,False,derived,57.18,Good,Medium,Low,exceedance_override,True,7,High,F,1,0
9528,W173300082511502,Andhra Pradesh,VISAKHAPATNAM,YELAMANCHILI,Yelamanchili,17.55916667,82.85416667,2022,7.2,2130.0,0.0,610.2,220.0,120.0,44.0,0.0,704.0857,142.0,85.0,130.0,26.0,0.46,,1363.2,15.0,,,2022,cgwb_2019.pdf,reported,False,derived,113.74,Poor,Medium,Medium,wqi_band,False,7,High,TDS,2,1
9527,W175818082490901,Andhra Pradesh,VISAKHAPATNAM,PADERU,Vontlamamidi-DW13,17.98277778,82.81916667,2022,7.5,860.0,0.0,183.1,106.4,53.1,68.2,0.0,294.9437,67.0,31.2,48.5,2.9,1.72,,550.4,34.0,,,2022,cgwb_2019.pdf,reported,False,derived,100.75,Poor,High,Medium,exceedance_override,True,7,High,F,4,2
9526,W174511083203301,Andhra Pradesh,VISAKHAPATNAM,VISAKHAPATNAM(U),Visalakshinagar 2011U,17.7625,83.3425,2022,7.1,1170.0,0.0,549.2,65.0,43.1,29.2,0.0,310.6608,65.0,35.9,106.9,3.1,0.77,,748.8,3.0,,,2022,cgwb_2019.pdf,reported,False,derived,67.04,Good,Low,Low,wqi_band,False,7,High,TDS,2,0
9525,W174632083111001,Andhra Pradesh,VISAKHAPATNAM,VISAKHAPATNAM(U),Vepagunta-DW14,17.77944444,83.18611111,2022,8.0,1000.0,0.0,256.3,104.5,65.2,43.9,0.0,307.2459,70.0,32.2,66.9,8.5,0.37,,640.0,7.0,,,2022,cgwb_2019.pdf,reported,False,derived,74.61,Good,Low,Low,wqi_band,False,7,High,TDS,2,0
9524,W174230082550001,Andhra Pradesh,VISAKHAPATNAM,ANAKAPALLE,Tallapalem,17.71166667,82.91666667,2022,7.5,1833.0,0.0,427.1,268.0,88.5,22.0,0.0,532.8284,95.0,71.9,142.1,7.6,0.71,,1173.1,8.0,,,2022,cgwb_2019.pdf,reported,False,derived,100.1,Poor,Medium,Medium,wqi_band,False,7,High,TDS,3,0
9523,W181620082582001,Andhra Pradesh,VISAKHAPATNAM,ANANTAGIRI,Sunkarametta-DW13,18.27111111,82.97222222,2022,7.6,560.0,0.0,36.6,111.7,1.6,101.7,0.0,201.3255,56.0,15.0,18.9,7.9,0.05,,358.4,1.0,,,2022,cgwb_2019.pdf,reported,False,derived,71.86,Good,High,Low,exceedance_override,True,7,High,NO3,2,1
9522,W174200082400002,Andhra Pradesh,VISAKHAPATNAM,ROLUGUNTA,Rolugunta1,17.71166667,82.66666667,2022,7.8,1584.0,0.0,732.2,37.1,77.6,34.0,0.0,237.6371,42.0,32.5,220.4,15.0,4.39,,1013.8,3.0,,,2022,cgwb_2019.pdf,reported,False,derived,149.43,Poor,High,Medium,exceedance_override,True,7,High,F,3,1
9521,W174731083230601,Andhra Pradesh,VISAKHAPATNAM,VISAKHAPATNAM(U),Rishikonda 2011U,17.79638889,83.385,2022,7.3,1971.0,0.0,549.2,371.0,37.1,35.0,0.0,465.336,111.0,45.9,215.3,24.1,0.45,,1261.4,11.0,,,2022,cgwb_2019.pdf,reported,False,derived,99.55,Good,Low,Low,wqi_band,False,7,High,TDS,3,0
9520,W172350082490001,Andhra Pradesh,VISAKHAPATNAM,S.RAYAVARAM,Revupolavaram,17.38972222,82.81666667,2022,7.5,900.0,0.0,390.5,82.6,33.8,2.5,0.0,188.1517,40.0,21.5,112.4,18.8,0.29,,576.0,3.0,,,2022,cgwb_2019.pdf,reported,False,derived,41.55,Excellent,Low,Low,wqi_band,False,7,High,TDS,1,0
9519,W172730082510001,Andhra Pradesh,VISAKHAPATNAM,S.RAYAVARAM,Rayavaram,17.4575,82.85,2022,7.2,2001.0,0.0,488.2,359.8,57.5,42.0,0.0,469.3668,114.0,45.0,225.7,8.5,0.78,,1280.6,3.0,,,2022,cgwb_2019.pdf,reported,False,derived,109.28,Poor,Medium,Medium,wqi_band,False,7,High,TDS,3,0
9518,W181244082464801,Andhra Pradesh,VISAKHAPATNAM,HUKUMPET,Rangasheela-DW13,18.20333333,82.78,2022,8.0,145.0,0.0,36.6,11.9,2.0,19.6,0.0,40.45253,12.0,2.3,7.9,5.3,0.04,,92.8,0.0,,,2022,cgwb_2019.pdf,reported,False,derived,23.61,Excellent,Low,Low,wqi_band,False,7,High,pH,0,0
9497,W180844082414201,Andhra Pradesh,VISAKHAPATNAM,HUKUMPET,Kontela-DW13,18.13555556,82.695,2022,7.8,370.0,0.0,122.0,34.7,7.6,10.2,0.0,96.38585,27.0,7.1,26.4,12.8,0.11,,236.8,2.0,,,2022,cgwb_2019.pdf,reported,False,derived,26.83,Excellent,Low,Low,wqi_band,False,7,High,pH,0,0
9509,W180209082421501,Andhra Pradesh,VISAKHAPATNAM,PADERU,Minimuluru-DW13,18.03388889,82.70416667,2022,8.0,150.0,0.0,73.2,2.7,5.6,0.3,0.0,53.27062,10.0,6.7,5.8,3.8,0.08,,96.0,0.0,,,2022,cgwb_2019.pdf,reported,False,derived,16.83,Excellent,Low,Low,wqi_band,False,7,High,pH,0,0
9464,W173829082132801,Andhra Pradesh,VISAKHAPATNAM,Koyyuru,Chedipalem (Itda Colony),17.64158333,82.22447222,2022,7.0,1432.0,0.0,659.0,117.0,15.8,39.6,0.0,525.7859,40.0,103.7,80.4,1.1,0.45,,916.5,0.0,,,2022,cgwb_2019.pdf,reported,False,derived,77.63,Good,Low,Low,wqi_band,False,7,High,TDS,2,0
9469,W172213082343901,Andhra Pradesh,VISAKHAPATNAM,Payakaraopet,Padalavani Laxmipuram,17.37030556,82.57769444,2022,7.3,65.0,0.0,24.4,4.2,0.2,10.2,0.0,26.5315,8.0,1.9,3.4,0.6,0.05,,41.6,0.0,,,2022,cgwb_2019.pdf,reported,False,derived,10.5,Excellent,Low,Low,wqi_band,False,7,High,NO3,0,0
9468,W182206082303601,Andhra Pradesh,VISAKHAPATNAM,Munchingiputtu,Munchingiputtu,18.36841667,82.51,2022,7.5,122.0,0.0,48.8,2.3,0.6,11.0,0.0,36.31303,9.0,3.4,5.1,1.3,0.15,,78.1,0.0,,,2022,cgwb_2019.pdf,reported,False,derived,16.05,Excellent,Low,Low,wqi_band,False,7,High,pH,0,0
9467,W173252082585401,Andhra Pradesh,VISAKHAPATNAM,Actchutpuram,Kumarapuram,17.54780556,82.98191667,2022,7.9,1416.0,0.0,280.7,176.4,68.1,106.3,0.0,437.894,90.0,52.0,82.7,5.9,0.58,,906.2,10.0,,,2022,cgwb_2019.pdf,reported,False,derived,119.33,Poor,High,Medium,exceedance_override,True,7,High,NO3,3,1
9466,W181719082472601,Andhra Pradesh,VISAKHAPATNAM,G.Madugula,G.Madugula,18.01497222,82.53319444,2022,8.0,505.0,0.0,195.3,38.9,8.9,15.2,0.0,193.1726,62.0,9.2,19.7,1.6,0.19,,323.2,2.0,,,2022,cgwb_2019.pdf,reported,False,derived,38.77,Excellent,Low,Low,wqi_band,False,7,High,pH,0,0
9496,W174403083164801,Andhra Pradesh,VISAKHAPATNAM,VISAKHAPATNAM(U),Kancherapalem 2011U,17.74555556,83.28,2022,7.7,1150.0,0.0,353.9,135.8,63.4,22.0,0.0,270.0559,51.0,35.0,100.2,59.2,0.51,,736.0,3.0,,,2022,cgwb_2019.pdf,reported,False,derived,67.95,Good,Low,Low,wqi_band,False,7,High,TDS,2,0
9495,W173630082484501,Andhra Pradesh,VISAKHAPATNAM,KASIMKOTA,Haripalem,17.61,82.8125,2022,7.3,1344.0,0.0,463.8,108.3,62.3,28.0,0.0,322.7991,60.0,42.2,88.2,42.1,1.04,,860.2,5.0,,,2022,cgwb_2019.pdf,reported,False,derived,80.62,Good,Medium,Low,exceedance_override,True,7,High,TDS,3,0
9494,W174930083142401,Andhra Pradesh,VISAKHAPATNAM,PENDURTI,Gurrampalem-DW14,17.83027778,83.24,2022,8.0,1111.0,0.0,414.9,68.6,35.6,11.6,0.0,252.6346,42.0,35.6,103.0,2.9,1.3,,711.0,4.0,,,2022,cgwb_2019.pdf,reported,False,derived,74.83,Good,Medium,Low,exceedance_override,True,7,High,TDS,3,0
9493,W172255082461501,Andhra Pradesh,VISAKHAPATNAM,NAKKALLI,Gurrajupeta,17.37277778,82.77083333,2022,8.0,176.0,0.0,36.6,33.5,2.9,0.0,0.0,18.5832,2.0,3.0,28.0,0.5,0.02,,112.6,1.0,,,2022,cgwb_2019.pdf,reported,False,derived,15.98,Excellent,Low,Low,wqi_band,False,7,High,pH,0,0
9492,W175300082090001,Andhra Pradesh,VISAKHAPATNAM,GUDEM KOTHAVEEDI,Gudem,17.89805556,82.15,2022,7.4,225.0,0.0,134.2,3.2,2.8,1.5,0.0,100.0026,22.0,11.2,4.1,1.1,0.23,,144.0,2.0,,,2022,cgwb_2019.pdf,reported,False,derived,17.15,Excellent,Low,Low,wqi_band,False,7,High,TDS,0,0
9491,W174542083131301,Andhra Pradesh,VISAKHAPATNAM,VISAKHAPATNAM(U),Gopalapatnam 2010Pz,17.7625,83.22027778,2022,7.7,942.0,0.0,183.1,83.6,110.4,25.0,0.0,276.4373,67.0,26.6,55.4,5.4,0.33,,602.9,4.0,,,2022,cgwb_2019.pdf,reported,False,derived,63.31,Good,Low,Low,wqi_band,False,7,High,TDS,2,0
9463,W175405083264201,Andhra Pradesh,VISAKHAPATNAM,Bheemunipatnam,Bheemunipatnam,17.90152778,83.44519444,2022,8.0,1338.0,0.0,329.5,99.4,42.4,80.8,0.0,312.1914,75.0,30.3,80.3,14.9,0.37,,856.3,6.0,,,2022,cgwb_2019.pdf,reported,False,derived,94.47,Good,High,Low,exceedance_override,True,7,High,NO3,3,1
9489,W181015082381301,Andhra Pradesh,VISAKHAPATNAM,PEDDABAYALU,Gamparai-DW14,18.16944444,82.63694444,2022,8.15,133.0,0.0,36.6,6.9,1.7,3.1,0.0,30.11058,8.0,2.7,6.7,2.6,0.05,,85.1,1.0,,,2022,cgwb_2019.pdf,reported,False,derived,17.63,Excellent,Low,Low,wqi_band,False,7,High,pH,0,0
9488,W181530082480001,Andhra Pradesh,VISAKHAPATNAM,DUMBRIGUDA,Dimriguda,18.25416667,82.8,2022,7.8,135.0,0.0,61.0,8.9,4.0,4.0,0.0,46.22725,13.0,3.6,7.2,4.0,0.05,,86.4,1.0,,,2022,cgwb_2019.pdf,reported,False,derived,15.44,Excellent,Low,Low,wqi_band,False,7,High,pH,0,0
9487,W175430082071501,Andhra Pradesh,VISAKHAPATNAM,GUDEM KOTHAVEEDI,Dharakonda,17.915,82.12083333,2022,6.9,110.0,0.0,48.8,9.0,0.6,5.0,0.0,39.79079,11.0,3.0,6.5,2.3,0.01,,70.4,2.0,,,2022,cgwb_2019.pdf,reported,False,derived,9.21,Excellent,Low,Low,wqi_band,False,7,High,pH,0,0
9486,W175300083260002,Andhra Pradesh,VISAKHAPATNAM,BHEEMUNIPATNAM,Bhimunipatnam-2,17.89805556,83.43333333,2022,7.4,687.0,0.0,122.0,67.0,21.0,70.1,0.0,182.1049,40.0,20.0,38.7,7.1,0.14,,439.7,2.0,,,2022,cgwb_2019.pdf,reported,False,derived,59.7,Good,High,Low,exceedance_override,True,7,High,NO3,1,1
9485,W175300083260001,Andhra Pradesh,VISAKHAPATNAM,BHEEMUNIPATNAM,Bhimunipatnam-1,17.89805556,83.43333333,2022,7.2,2130.0,0.0,305.1,306.5,73.2,91.4,0.0,300.8731,64.0,34.1,197.1,64.7,0.38,,1363.2,5.0,,,2022,cgwb_2019.pdf,reported,False,derived,117.2,Poor,High,Medium,exceedance_override,True,7,High,NO3,4,1
9484,W174615082543001,Andhra Pradesh,VISAKHAPATNAM,CHODAVARAM,Bangarumitta,17.77944444,82.90833333,2022,7.7,1016.0,0.0,463.8,56.4,12.2,15.0,0.0,318.1969,83.0,27.0,72.0,0.6,0.37,,650.2,11.0,,,2022,cgwb_2019.pdf,reported,False,derived,54.4,Good,Low,Low,wqi_band,False,7,High,TDS,2,0
9483,W181300083063001,Andhra Pradesh,VISAKHAPATNAM,ANANTAGIRI,Bangarammapeta-DW13,18.22027778,83.10833333,2022,7.9,110.0,0.0,36.6,4.7,7.0,3.4,0.0,32.38974,4.0,5.3,4.6,2.2,0.05,,70.4,1.0,,,2022,cgwb_2019.pdf,reported,False,derived,15.23,Excellent,Low,Low,wqi_band,False,7,High,pH,0,0
9482,W174253082352601,Andhra Pradesh,VISAKHAPATNAM,PENDURTI,Bandavaripalem DW14,17.71166667,82.59055556,2022,7.9,2051.0,0.0,573.6,221.7,132.0,154.0,0.0,704.1256,57.0,136.8,147.8,8.9,1.34,,1312.6,20.0,,,2022,cgwb_2019.pdf,reported,False,derived,181.68,Poor,High,Medium,exceedance_override,True,7,High,TH,4,2
9481,W181412083004301,Andhra Pradesh,VISAKHAPATNAM,ANANTAGIRI,Anantagiri-DW13,18.23722222,83.01194444,2022,7.5,448.0,0.0,207.5,7.1,15.0,10.3,0.0,151.8951,44.0,10.3,17.0,3.5,0.13,,286.7,1.0,,,2022,cgwb_2019.pdf,reported,False,derived,27.13,Excellent,Low,Low,wqi_band,False,7,High,TDS,0,0
9512,W180500082420001,Andhra Pradesh,VISAKHAPATNAM,PADERU,Paderu,18.08472222,82.7,2022,7.6,92.0,0.0,48.8,2.8,1.3,2.0,0.0,30.68554,9.0,2.0,6.0,1.7,0.11,,58.9,1.0,,,2022,cgwb_2019.pdf,reported,False,derived,11.89,Excellent,Low,Low,wqi_band,False,7,High,pH,0,0
9511,W173900082350001,Andhra Pradesh,VISAKHAPATNAM,GOLUGONDA,Narsipatnam,17.66083333,82.58333333,2022,7.0,690.0,0.0,341.7,31.1,10.3,3.0,0.0,232.0051,60.0,20.0,38.0,5.0,0.65,,441.6,4.0,,,2022,cgwb_2019.pdf,reported,False,derived,37.09,Excellent,Low,Low,wqi_band,False,7,High,TDS,1,0
9510,W174205082284501,Andhra Pradesh,VISAKHAPATNAM,GOLUGONDA,Nagannadorapalem-DW14,17.71166667,82.47916667,2022,8.0,1495.0,0.0,573.6,139.0,41.5,40.4,0.0,271.6481,57.0,31.6,148.0,69.7,1.31,,956.8,9.0,,,2022,cgwb_2019.pdf,reported,False,derived,98.42,Good,Medium,Low,exceedance_override,True,7,High,TDS,3,0
9490,W175530082450001,Andhra Pradesh,VISAKHAPATNAM,PADERU,Garikabanda,17.93194444,82.75,2022,7.6,533.0,0.0,219.7,22.6,15.8,14.0,0.0,170.3392,48.0,12.2,30.7,1.4,0.15,,341.1,2.0,,,2022,cgwb_2019.pdf,reported,False,derived,33.06,Excellent,Low,Low,wqi_band,False,7,High,TDS,0,0
9462,W182010082505001,Andhra Pradesh,VISAKHAPATNAM,Pachipenta,Aruku,18.3858,83.1092,2022,6.6,372.0,0.0,183.1,20.7,1.9,6.4,0.0,134.0837,29.0,15.0,16.0,8.0,0.09,,238.1,2.0,,,2022,cgwb_2019.pdf,reported,False,derived,29.23,Excellent,Low,Low,wqi_band,False,7,High,pH,0,0
9461,W175149082205101,Andhra Pradesh,VISAKHAPATNAM,Chintapalli,Antarla,17.86361111,82.3475,2022,8.08,94.0,0.0,36.6,4.4,1.1,3.9,0.0,21.2118,6.0,1.6,7.6,1.7,0.05,,60.2,1.0,,,2022,cgwb_2019.pdf,reported,False,derived,16.04,Excellent,Low,Low,wqi_band,False,7,High,pH,0,0
9470,W181715082352301,Andhra Pradesh,VISAKHAPATNAM,Peddabayalu,Peddabayalu,18.28775,82.58975,2022,7.1,260.0,0.0,61.0,25.4,1.1,48.6,0.0,84.10575,24.0,6.1,15.6,2.2,0.14,,166.4,0.0,,,2022,cgwb_2019.pdf,reported,False,derived,32.84,Excellent,High,Low,exceedance_override,True,7,High,NO3,1,1
9480,W175331083221601,Andhra Pradesh,VISAKHAPATNAM,VISAKHAPATNAM(U),Anandapuram 2010Pz,17.89805556,83.37111111,2022,7.8,336.0,0.0,170.9,7.4,8.9,4.7,0.0,91.75462,20.0,9.9,23.5,6.3,0.75,,215.0,1.0,,,2022,cgwb_2019.pdf,reported,False,derived,34.48,Excellent,Low,Low,wqi_band,False,7,High,F,0,0
9479,W174130083000001,Andhra Pradesh,VISAKHAPATNAM,ANAKAPALLE,Anakapalli,17.69472222,83.0,2022,7.1,2655.0,0.0,549.2,405.9,92.4,131.1,0.0,695.0112,173.0,64.0,181.5,79.4,0.39,,1699.2,17.0,,,2022,cgwb_2019.pdf,reported,False,derived,163.13,Poor,High,Medium,exceedance_override,True,7,High,TH,4,2
9478,W174233083122601,Andhra Pradesh,VISAKHAPATNAM,VISAKHAPATNAM(U),Akkireddipalem 2010Pz,17.71166667,83.20722222,2022,7.2,805.0,0.0,219.7,60.8,32.2,62.4,0.0,201.7903,44.0,22.5,56.4,0.0,0.95,,515.2,2.0,,,2022,cgwb_2019.pdf,reported,False,derived,73.07,Good,High,Low,exceedance_override,True,7,High,NO3,3,1
9477,W172545082445001,Andhra Pradesh,VISAKHAPATNAM,S.RAYAVARAM,Addaroddu,17.42361111,82.74722222,2022,7.6,1290.0,0.0,268.5,188.8,72.3,55.1,0.0,232.5145,53.0,24.6,140.0,61.5,0.29,,825.6,8.0,,,2022,cgwb_2019.pdf,reported,False,derived,80.79,Good,High,Low,exceedance_override,True,7,High,NO3,3,1
9476,W174940083055001,Andhra Pradesh,VISAKHAPATNAM,Sabbavaram,Vangali,17.82786111,83.09733333,2022,6.9,1245.0,0.0,317.3,125.7,47.1,84.6,0.0,365.2532,95.0,31.4,69.8,3.4,0.33,,796.8,2.0,,,2022,cgwb_2019.pdf,reported,False,derived,90.1,Good,High,Low,exceedance_override,True,7,High,NO3,3,1
9475,W173747082392901,Andhra Pradesh,VISAKHAPATNAM,Makavaripalem,Vajragada,17.62988889,82.65813889,2022,7.1,560.0,0.0,329.5,10.7,10.1,0.3,0.0,195.9792,52.0,16.1,34.0,3.2,0.45,,358.4,0.0,,,2022,cgwb_2019.pdf,reported,False,derived,28.55,Excellent,Low,Low,wqi_band,False,7,High,TDS,0,0
9474,W181044082423101,Andhra Pradesh,VISAKHAPATNAM,Hukumpet,Thadigiri,18.17908333,82.70866667,2022,6.5,22.0,0.0,12.2,1.1,0.2,0.4,0.0,7.459156,2.0,0.6,1.5,0.4,0.01,,14.1,0.0,,,2022,cgwb_2019.pdf,reported,False,derived,15.92,Excellent,Low,Low,wqi_band,False,7,High,pH,0,0
9472,W173004082595601,Andhra Pradesh,VISAKHAPATNAM,Actchutpuram,Pudimadaka,17.5082,83.0114,2022,7.5,1943.0,0.0,512.6,230.5,89.0,90.0,0.0,438.3147,113.0,38.0,206.8,65.0,0.05,,1243.5,9.0,,,2022,cgwb_2019.pdf,reported,False,derived,112.82,Poor,High,Medium,exceedance_override,True,7,High,NO3,3,1
10402A.P.,SYN|Andhra Pradesh|VIZIANAGARAM|Chilakalapal|18.593|83.504,Andhra Pradesh,VIZIANAGARAM,,Chilakalapalli DW13,18.5928,83.5042,2019,7.4,1670.0,0.0,500.0,234.0,26.0,84.0,,460.0,100.0,51.0,134.0,61.0,0.85,,996.0,,,,2019,cgwb_2019.pdf,district,True,measured,113.13,Poor,High,Medium,exceedance_override,True,7,High,NO3,3,1
10403A.P.,SYN|Andhra Pradesh|VIZIANAGARAM|Gotlam DW13|18.164|83.378,Andhra Pradesh,VIZIANAGARAM,,Gotlam DW13,18.1636,83.3778,2019,7.6,1290.0,0.0,232.0,262.0,76.0,5.0,,320.0,72.0,34.0,139.0,12.0,0.36,,744.0,,,,2019,cgwb_2019.pdf,district,True,measured,65.82,Good,Low,Low,wqi_band,False,7,High,TDS,3,0
10414A.P.,SYN|Andhra Pradesh|VIZIANAGARAM|Mirthivalasa|18.620|83.480,Andhra Pradesh,VIZIANAGARAM,,MirthivalasaDW16,18.62,83.48,2019,7.55,1700.0,0.0,287.0,347.0,80.0,51.0,,550.0,160.0,37.0,115.0,35.0,0.63,,1000.0,,,,2019,cgwb_2019.pdf,district,True,measured,109.43,Poor,High,Medium,exceedance_override,True,7,High,NO3,4,1
10415A.P.,SYN|Andhra Pradesh|VIZIANAGARAM|Gangaraivala|18.860|83.460,Andhra Pradesh,VIZIANAGARAM,,GangaraivalasaDW16,18.86,83.46,2019,7.7,900.0,0.0,409.0,46.0,5.0,55.0,,335.0,78.0,34.0,49.0,4.8,0.69,,522.0,,,,2019,cgwb_2019.pdf,district,True,measured,72.61,Good,High,Low,exceedance_override,True,7,High,NO3,3,1
10416A.P.,SYN|Andhra Pradesh|VIZIANAGARAM|DIGUVAMANDAD|18.940|83.610,Andhra Pradesh,VIZIANAGARAM,,DIGUVAMANDADW16,18.94,83.61,2019,8.01,1330.0,0.0,171.0,14.0,475.0,6.0,,90.0,20.0,10.0,257.0,2.6,0.2,,889.0,,,,2019,cgwb_2019.pdf,district,True,measured,81.63,Good,Medium,Low,exceedance_override,True,7,High,SO4,2,1
10381A.P.,SYN|Andhra Pradesh|VIZIANAGARAM|Parvatipuram|18.783|83.433,Andhra Pradesh,VIZIANAGARAM,,Parvatipuram1,18.7833,83.4333,2019,6.7,920.0,0.0,140.0,188.0,32.0,56.0,,325.0,106.0,15.0,59.0,3.8,0.3,,546.0,,,,2019,cgwb_2019.pdf,district,True,measured,76.43,Good,High,Low,exceedance_override,True,7,High,NO3,3,1
10382A.P.,SYN|Andhra Pradesh|VIZIANAGARAM|Bobbili|18.583|83.367,Andhra Pradesh,VIZIANAGARAM,,Bobbili,18.5833,83.3667,2019,6.9,1000.0,0.0,195.0,131.0,74.0,95.0,,405.0,138.0,15.0,42.0,1.7,0.44,,615.0,,,,2019,cgwb_2019.pdf,district,True,measured,94.73,Good,High,Low,exceedance_override,True,7,High,NO3,3,1
10383A.P.,SYN|Andhra Pradesh|VIZIANAGARAM|Saluru|18.524|83.208,Andhra Pradesh,VIZIANAGARAM,,Saluru,18.5236,83.2083,2019,7.5,990.0,0.0,439.0,89.0,4.0,4.0,,345.0,70.0,41.0,67.0,0.7,0.94,,545.0,,,,2019,cgwb_2019.pdf,district,True,measured,57.17,Good,Low,Low,wqi_band,False,7,High,F,2,0
10394A.P.,SYN|Andhra Pradesh|VIZIANAGARAM|Kapusambam-D|18.333|83.583,Andhra Pradesh,VIZIANAGARAM,,Kapusambam-DW13,18.3333,83.5833,2019,7.68,950.0,0.0,415.0,78.0,7.0,19.0,,455.0,68.0,69.0,8.0,0.9,0.74,,505.0,,,,2019,cgwb_2019.pdf,district,True,measured,64.04,Good,Low,Low,wqi_band,False,7,High,TH,2,0
10396A.P.,SYN|Andhra Pradesh|VIZIANAGARAM|Narava-DW13|18.139|83.328,Andhra Pradesh,VIZIANAGARAM,,Narava-DW13,18.1389,83.3278,2019,7.3,1740.0,0.0,378.0,362.0,46.0,2.0,,485.0,108.0,52.0,156.0,30.0,0.21,,987.0,,,,2019,cgwb_2019.pdf,district,True,measured,74.38,Good,Low,Low,wqi_band,False,7,High,TDS,3,0
10397A.P.,SYN|Andhra Pradesh|VIZIANAGARAM|Tatipudi-DW1|18.167|83.200,Andhra Pradesh,VIZIANAGARAM,,Tatipudi-DW13,18.1667,83.2,2019,7.7,660.0,0.0,336.0,35.0,3.0,2.0,,323.0,76.0,32.0,3.0,0.9,1.2,,358.0,,,,2019,cgwb_2019.pdf,district,True,measured,54.31,Good,Medium,Low,exceedance_override,True,7,High,TH,2,0
